videoID,channelID,day,views
3ji4PcqIBEg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,578
3ji4PcqIBEg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,559
3ji4PcqIBEg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,616
3ji4PcqIBEg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,741
3ji4PcqIBEg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,1152
3ji4PcqIBEg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,1263
3ji4PcqIBEg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,1272
3ji4PcqIBEg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,1565
3ji4PcqIBEg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,1459
3ji4PcqIBEg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,1273
tyMbktsAScE,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,1627
tyMbktsAScE,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,1449
tyMbktsAScE,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,1741
tyMbktsAScE,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,1867
tyMbktsAScE,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,1499
tyMbktsAScE,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,2003
tyMbktsAScE,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,2263
tyMbktsAScE,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,1761
tyMbktsAScE,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,2221
tyMbktsAScE,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,2247
tyMbktsAScE,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,1525
tyMbktsAScE,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,1532
MmGlg-tVk0E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,55
MmGlg-tVk0E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,44
MmGlg-tVk0E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,38
MmGlg-tVk0E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,34
MmGlg-tVk0E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,39
MmGlg-tVk0E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,42
MmGlg-tVk0E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,56
MmGlg-tVk0E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,29
MmGlg-tVk0E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,45
MmGlg-tVk0E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,45
MmGlg-tVk0E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,59
MmGlg-tVk0E,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,48
GnWJIWezuuc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,10
GnWJIWezuuc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,5
GnWJIWezuuc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,7
GnWJIWezuuc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,7
GnWJIWezuuc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,5
GnWJIWezuuc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,12
GnWJIWezuuc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,6
GnWJIWezuuc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,9
GnWJIWezuuc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,8
GnWJIWezuuc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,8
GnWJIWezuuc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,9
GnWJIWezuuc,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,6
kDHouMEXHQg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,55
kDHouMEXHQg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,57
kDHouMEXHQg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,56
kDHouMEXHQg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,68
kDHouMEXHQg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,100
kDHouMEXHQg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,108
kDHouMEXHQg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,94
kDHouMEXHQg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,124
kDHouMEXHQg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,173
kDHouMEXHQg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,168
kDHouMEXHQg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,162
kDHouMEXHQg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,177
4zdwo7ZvhMk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,46
