channelID,channelName,title,videoIDs,video_description,publishedDate,likes,views,comment,video_length,length_in_seconds,thumbnail
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,The Weirdos Are Winning,acSTlnLX79k,"There's never been a better time to monetize your weirdness online. For Essay 2, we looked at how Grammy award-winning artist Tyler, the Creator was often labelled an outcast by his peers, and how we as creators can succeed while swimming upstream -- even if you're not as uniquely weird as Tyler.

Season 1, dubbed 'Transitions,' is all about reflecting on Powder Blue's past while introducing our future as we release the first-ever magazine dedicated to covering the creator economy. Sign up at laylo.com/powderblue to get notified of all future content and product drops.

Music from Stoic Beats. Thanks to Li Jin, Kevin Kelly, Ben Thompson, and Tyler himself for inspiring this video.",2021-11-29T03:16:51Z,6,122,1,00:11:55,715,https://i.ytimg.com/vi/acSTlnLX79k/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,"Tyler, the Creator vs. DJ Khaled",_LIXV5mUEes,"In 2019, Tyler released his album Igor, topping charts and winning a Grammy. But his peers didn’t always accept him, sometimes even making public comments for their hatred of his music.

Yet two years later, Tyler is headlining concerts and debuting at number one. By leaning in to what makes him unique, the artist is building something truly special.

Essay 2 drops Sunday, 11/28 at 7pm CDT. To never miss a drop, subscribe + sign up for free notifications at laylo.com/unplug.

Intro Music: ""HOP OUT"" by Stoic Beats",2021-11-26T22:21:00Z,10,272,0,00:00:46,46,https://i.ytimg.com/vi/_LIXV5mUEes/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Andrew Callaghan didn't build Channel 5 overnight... #shorts,OQiSx-k3Qtc,,2021-11-25T04:28:58Z,8,178,1,00:00:51,51,https://i.ytimg.com/vi/OQiSx-k3Qtc/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Who do you trust? #shorts,FrEH38HYD_Q,How do you get your information? And who is Andrew Callaghan? Essay 1 is live on our channel now! #channel5 #andrewcallaghan #news #media #allgasnobrakes,2021-11-24T23:33:22Z,5,572,0,00:00:45,45,https://i.ytimg.com/vi/FrEH38HYD_Q/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Was Jon Stewart right? #shorts,7axf7JGIk5I,"In 2004, Jon Stewart took on Tucker Carlson, saying his form of media ""hurts America."" If the news anchors weren't informing Americans, Stewart said, the responsibility fell on comedians like himself. Is this still true today?",2021-11-24T00:08:14Z,8,511,5,00:00:50,50,https://i.ytimg.com/vi/7axf7JGIk5I/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,How Andrew Callaghan Rebranded Journalism,LMPHYGri9Lw,"Success in modern media can be traced to three things: telling good stories, building trust, and branding. For Essay 1, we looked at journalist Andrew Callaghan and the rise and fall of 'All Gas No Brakes.'

Season 1, dubbed 'Transitions,' is all about reflecting on Powder Blue's past while introducing our future as we release the first-ever magazine dedicated to covering the creator economy. Sign up at laylo.com/powderblue to get notified of all future content and product drops.

Video from Vice, CNN, All Gas No Brakes, H3, CBC News, OAN, and Channel 5. Thanks to Taylor Lorenz, H3, Lonnie Nadler, and Andrew himself for inspiring this video.",2021-11-22T02:00:11Z,25,590,6,00:13:49,829,https://i.ytimg.com/vi/LMPHYGri9Lw/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,The story of Andrew Callaghan #shorts #allgasnobrakes,g0MJphGvCLY,,2021-11-20T05:54:45Z,6,186,0,00:00:44,44,https://i.ytimg.com/vi/g0MJphGvCLY/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,The Rise and Fall of All Gas No Brakes (Teaser),32bBkABg8aQ,"When Andrew Callaghan graduated with a journalism degree in 2019, he decided to hit the road in an RV with his two best friends, to chronicle everything weird and wild about our country.

The show, 'All Gas No Brakes', racked up millions of views. Yet in November 2020, Andrew strangely stopped posting to his YouTube account. And in March, the truth came out: somehow, he lost the show he had built from the ground up.

Essay 1 drops Sunday, 11/21 at 7pm CDT. For exclusive content, product, and event drops, sign up to get notified at laylo.com/unplug.",2021-11-18T18:09:59Z,4,50,0,00:00:44,44,https://i.ytimg.com/vi/32bBkABg8aQ/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Season 1 Starts 11/21,8bTJDblMLbk,Coming soon. Sign up for exclusive drops: laylo.com/unplug #shorts,2021-11-18T01:32:29Z,2,6,0,00:00:09,9,https://i.ytimg.com/vi/8bTJDblMLbk/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Unboxing Our Official Sandwich,BaSBgKvuSMg,"We collaborated with D&D Finer Foods on Noyes Street in Evanston to support with a story, podcast, three unique products, and this incredible, limited-edition sandwich.

Featuring classic ham-and-swiss on toasted ciabatta bread, ""The Unplug"" has all of the essentials: lettuce, tomato, onions...you know the drill. However, it's the mayo and honey mustard combo that really puts this thing over the top; when the owner of the store is even calling the sandwich delicious, that's when you know it's a must-have.

Stop by D&D's to pick up a sandwich through the end of the week and learn more about the collab at unplugwithus.com/dnds!",2020-10-21T21:07:50Z,1,46,2,00:01:48,108,https://i.ytimg.com/vi/BaSBgKvuSMg/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Unplug With Us.,rmoj33rcE2U,"What message should we be spreading to draw people into our community? This is something we've asked ourselves since the beginning.

Then we realized something: people had already joined. So we went to our community and asked them a simple question. ""What does unplugging mean to you?""

To learn more about us and check out the latest projects and products we're working on, log on at unplugwithus.com/relaunch.",2020-04-26T22:00:26Z,3,91,0,00:01:29,89,https://i.ytimg.com/vi/rmoj33rcE2U/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,"""What Does Being Unplugg'd Mean To You?"" (Rough Cut)",RsDwYPefXw0,"We asked friends and fans of the brand -- what does ""Being Unplugg'd"" mean to you?",2020-04-26T07:47:42Z,0,21,0,00:01:35,95,https://i.ytimg.com/vi/RsDwYPefXw0/hqdefault.jpg
